site,var,nRMSE,R2,n
CZ-Stn,TN,0.08135016962675645,0.8575565398643238,4015
DE-Geb,PET,0.19166382885205832,0.8582229671070442,7101
CH-Cha,PET,0.1535644561848896,0.860616285842777,5304
CZ-wet,PET,0.1722104379785015,0.8606699231212689,5145
BE-Maa,PET,0.18806079645450965,0.8626933106427566,1641
SE-Deg,PET,0.13855403094675783,0.863889947182942,6723
FR-Hes,PET,0.24658130885564966,0.8641394034092851,2541
FR-Bil,TN,0.07008717255872016,0.8662536052609748,2555
FR-Bil,PET,0.20199370941894387,0.8672915651093434,2435
SE-Svb,PET,0.24448948738143308,0.8678778859050997,2488
SE-Nor,PET,0.23244957758486562,0.868693126542997,2445
DE-Hai,PET,0.27786130690312705,0.868994697018998,7286
CZ-Stn,PET,0.2921390348130515,0.8693261054128519,3909
DE-HoH,PET,0.27893748778569266,0.8695386554786826,2181
CZ-RAJ,PET,0.30044175181335564,0.8699552211242194,3257
FR-Lam,PET,0.17208316125026668,0.8732328203113136,5350
CH-Oe2,PET,0.13589719014405607,0.8773918563121882,5855
FI-Sii,PET,0.15734007135905465,0.8792205386664063,1708
FR-LGt,TN,0.07985520719558513,0.8795030849132357,1460
CZ-Lnz,PET,0.2749859042220581,0.881913988638175,1939
CZ-KrP,PET,0.20273802325861354,0.8825186933101126,2478
IT-SR2,TN,0.0872290525080009,0.8829744049058628,2920
IT-Cp2,TX,0.06973330481683815,0.8842432894179618,3249
DE-Obe,TN,0.059319814839331915,0.8844620388985373,4745
FR-Tou,PET,0.20657150942687932,0.8845447237124521,1090
FR-LGt,PET,0.1648735295855051,0.8848043411708075,1433
FR-Hes,TN,0.07803253957405808,0.8866509326274771,2555
DE-Hai,TN,0.05612074876619219,0.9011115177805883,7665
CH-Aws,TX,0.07543186641551225,0.9041352190649984,5475
BE-Lon,TN,0.04998883088865139,0.9085761833491963,6205
CH-Lae,TN,0.05166254994210847,0.9102266380264478,6205
DE-Tha,TN,0.06004573760536184,0.9128228851173299,9125
IT-Tor,TX,0.061207690245734525,0.9176540492514204,4745
FI-Hyy,TN,0.053164107385996646,0.9187399940948193,9125
BE-Bra,TN,0.054494418505833433,0.9193468175060613,8939
DE-HoH,TN,0.053313635819804035,0.9198384026864574,2190
IT-SR2,TX,0.07841139161877886,0.9201366227590182,2920
SE-Deg,TN,0.059042889622901044,0.9235623418902761,7300
FR-Fon,TN,0.05046847394167343,0.9259043645373057,5840
DK-Gds,TN,0.1004281531742728,0.927291838190222,365
SE-Nor,TN,0.05332705806367256,0.9279101601657517,2555
BE-Dor,TN,0.03924779161126023,0.9284528251813391,3650
BE-Vie,TN,0.04243939261890418,0.9287710288097285,9125
SE-Svb,TN,0.05089280243122212,0.9336370782993133,2555
CH-Cha,TN,0.05890005842980925,0.9355894560103015,5840
IT-Tor,TN,0.04372533499610026,0.9375865891265202,4745
CZ-Lnz,TN,0.05665125403026955,0.9382271755712377,2190
CH-Oe2,TN,0.0425104103867962,0.9403296827234491,6205
CZ-RAJ,TN,0.04503033862854126,0.9409571716468096,3285
CZ-wet,TN,0.044964781318946025,0.9415324009811186,5475
FR-Bil,TX,0.043963561937450095,0.9435000354209495,2555
CH-Fru,TN,0.03589193459434286,0.9446369603593369,5840
SE-Htm,TN,0.042003191710918666,0.9472804984229574,2190
FR-Lam,TN,0.03691747897977328,0.9513906419283841,5840
CZ-BK1,TN,0.04191274003459979,0.9516069961857675,6205
DE-Kli,TN,0.033670528468825144,0.9534919841679373,6205
CH-Fru,TX,0.03931150794351388,0.9541666330255782,5840
DE-Gri,TN,0.03416009567237036,0.9545402445187376,6205
BE-Maa,TN,0.04947215403219344,0.9554920518907856,1825
BE-Lcr,TN,0.04016045020776051,0.955681618497684,730
BE-Lon,TX,0.0350726333298833,0.9584444876532963,6205
FI-Sii,TN,0.037531491018573906,0.9600124124225581,1825
IT-Lsn,TN,0.047508100108671306,0.9604090319313023,1825
DE-Hzd,TN,0.03611405875530463,0.9607313028264459,4015
CH-Oe2,TX,0.05260274076334382,0.9639918239277973,6205
CZ-BK1,TX,0.04152771078055293,0.9649702585053606,6205
IT-Lsn,TX,0.04535138268246449,0.9673189230534137,1825
DE-RuS,TN,0.02817113318897596,0.969270206882073,3650
CH-Dav,TN,0.051729692439737254,0.969536997567153,8760
FI-Hyy,TX,0.031191278441183735,0.9736399206812629,9125
DK-Gds,TX,0.03853818029765453,0.9746679719151904,365
CH-Lae,TX,0.06908351172384002,0.9750173686631994,6205
DE-Akm,TN,0.03163522535529141,0.9751223338156458,4380
DE-RuR,TN,0.02695064670976365,0.9760379014328613,3650
FR-LGt,TX,0.03206052956212401,0.9762943304326126,1460
SE-Deg,TX,0.02943813156786568,0.9779774748848619,7300
FR-Tou,TN,0.03012685907083567,0.9782074469982316,1095
CH-Cha,TX,0.03179324315817275,0.9794414134180907,5840
CZ-KrP,TN,0.030672038181248633,0.9796018743552583,2555
FR-Lam,TX,0.02587453023258032,0.9809526206998513,5840
DE-Hzd,TX,0.025145877410359032,0.9811943342695889,4015
DE-Geb,TN,0.024251777782179823,0.9826659735871447,7300
DE-Obe,TX,0.06368125769857273,0.9828385490290613,4745
BE-Bra,TX,0.028302852709734982,0.9831897316189455,8939
CZ-Lnz,TX,0.04261273992854733,0.9842488447807559,2190
CZ-Stn,TX,0.03922990412672646,0.9843276377318574,4015
DE-Gri,TX,0.02196810584181278,0.986388098516339,6205
CZ-wet,TX,0.022855366025964448,0.9867714952946264,5475
SE-Svb,TX,0.03154566833057202,0.9871795861957686,2555
BE-Dor,TX,0.02259705626229025,0.9872219159969641,3650
BE-Vie,TX,0.03557469832266391,0.9873168074121267,9125
SE-Nor,TX,0.0291170020374308,0.9875394618046672,2555
FR-Hes,TX,0.0395806425140598,0.9875621495185283,2555
SE-Htm,TX,0.03738445525466549,0.9878360783924026,2190
FR-Fon,TX,0.03288126036840813,0.987954817287607,5840
CZ-RAJ,TX,0.05617843408815923,0.98830088333853,3285
BE-Lcr,TX,0.03930020632794853,0.9894327651903086,730
DE-Hai,TX,0.035123395521089965,0.9900226766896338,7665
DE-HoH,TX,0.051897339550090245,0.9900875464928417,2190
CH-Dav,TX,0.017860442641765378,0.9901462034369534,8760
DE-Akm,TX,0.02416188312305713,0.9906814206019029,4380
DE-Tha,TX,0.02524773037131602,0.9909430167971659,9125
FI-Sii,TX,0.018823689967148827,0.9913243403615946,1825
DE-RuS,TX,0.019902843556794683,0.9919966659551299,3650
DE-Kli,TX,0.03652867451437795,0.9921655892213889,6205
DE-RuR,TX,0.02646787592436819,0.9928212842610129,3650
CZ-KrP,TX,0.022069623636879268,0.9937419744151005,2555
BE-Maa,TX,0.022004000811357016,0.9941042991105599,1825
FR-Tou,TX,0.0274699430798704,0.9941244665892588,1095
DE-Geb,TX,0.01517820158672994,0.9957601053118302,7300
